








































































































628 273 36 64 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 273 36 64 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 273 36 64 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 279 36 56 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 279 36 56 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 279 36 56 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
625 281 37 54 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
625 281 37 54 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
625 281 37 54 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
625 288 35 49 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
625 288 35 49 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
625 288 35 49 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
626 293 32 45 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
626 293 32 45 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
626 293 32 45 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
623 297 31 43 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
623 297 31 43 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
623 297 31 43 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 279 36 56 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 279 36 56 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
628 279 36 56 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
620 298 34 38 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
620 298 34 38 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
620 298 34 38 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
622 302 32 40 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
622 302 32 40 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
622 302 32 40 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
621 305 33 39 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
621 305 33 39 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
621 305 33 39 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
618 309 35 36 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
618 309 35 36 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
618 309 35 36 0.95 0 1;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
616 310 36 36 0.95 1 4;699 256 17 85 0.95 4 2;715 271 27 88 0.95 4 3
